city_name,state,abbreviation,population,latitude,longitude
Marysville,Washington,WA,63269,48.0517637,-122.1770818
Perris,California,CA,72326,33.7825194,-117.22864779999999
Cleveland,Ohio,OH,390113,41.499320000000004,-81.6943605
Worcester,Massachusetts,MA,182544,42.262593200000005,-71.8022934
Columbia,South Carolina,SC,133358,34.0007104,-81.0348144
Waterbury,Connecticut,CT,109676,41.558152500000006,-73.0514965
Eagan,Minnesota,MN,65453,44.804132200000005,-93.1668858
Southfield,Michigan,MI,73006,42.473368799999996,-83.2218731
Lafayette,Louisiana,LA,124276,30.2240897,-92.0198427
Boise City,Idaho,ID,214237,43.6187102,-116.2146068
Elkhart,Indiana,IN,51265,41.6819935,-85.9766671
Buena Park,California,CA,82882,33.867514299999996,-117.99811809999999
Marietta,Georgia,GA,59089,33.952602,-84.5499327
Parker,Colorado,CO,48608,39.5186002,-104.76136329999999
West Palm Beach,Florida,FL,102436,26.7153424,-80.0533746
Salem,Massachusetts,MA,42544,42.51954,-70.8967155
Aurora,Illinois,IL,199963,41.7605849,-88.3200715
Leesburg,Virginia,VA,47673,39.1156615,-77.5636015
Doral,Florida,FL,50213,25.8195424,-80.3553302
Westminster,California,CA,91739,33.7513419,-117.99399209999999
Lubbock,Texas,TX,239538,33.5778631,-101.85516650000001
Overland Park,Kansas,KS,181260,38.9822282,-94.6707917
Jackson,Mississippi,MS,172638,32.298757300000005,-90.1848103
Gastonia,North Carolina,NC,73209,35.262082,-81.1873005
Daytona Beach,Florida,FL,62316,29.2108147,-81.02283309999999
Kansas City,Missouri,MO,467007,39.0997265,-94.5785667
Rancho Palos Verdes,California,CA,42448,33.7444613,-118.3870173
Burnsville,Minnesota,MN,61434,44.7677424,-93.27772259999999
Rowlett,Texas,TX,58043,32.9029017,-96.56388000000001
Roswell,New Mexico,NM,48611,33.3942655,-104.52302420000001
Montgomery,Alabama,AL,201332,32.366805199999995,-86.2999689
Logan,Utah,UT,48913,41.7369803,-111.83383590000001
Woburn,Massachusetts,MA,39083,42.479261799999996,-71.1522765
Allentown,Pennsylvania,PA,118577,40.6084305,-75.4901833
Mount Pleasant,South Carolina,SC,74885,32.8323225,-79.82842579999999
Columbus,Georgia,GA,202824,32.4609764,-84.9877094
Buffalo,New York,NY,258959,42.8864468,-78.8783689
New Berlin,Wisconsin,WI,39834,42.9764027,-88.10842240000001
North Richland Hills,Texas,TX,67317,32.8342952,-97.22890290000001
Lima,Ohio,OH,38355,40.742551,-84.1052256
Sacramento,California,CA,479686,38.5815719,-121.49439960000001
